,ggroup,conm,tic,2020 Return,beta,alpha,2021 Return
0,4010,AMERIS BANCORP,ABCB,-0.08728820349710924,1.251639030050179,0.051848503924805445,0.3199782785453432
1,4010,ALLEGIANCE BANCSHARES INC,ABTX,-0.07692927015400244,1.0549997008915208,0.037842468313845856,0.29380721396824644
2,4010,ATLANTIC CAP BANCSHARES INC,ACBI,-0.12791011732780602,1.1241308242148385,-0.004572555935626388,0.8431121846975174
3,4010,ACNB CORP,ACNB,-0.2982927974349276,1.1939956091759032,-0.16629850738199567,0.3338528022182737
4,4010,AFFINITY BANCSHARES INC,AFBI,-0.1532078252202894,0.2055811873670142,-0.1436848983690392,0.5715757125572585
5,4010,AMALGAMATED FINANCIAL CORP,AMAL,-0.2681089720848423,0.9138492005917926,-0.17082675401135505,0.25107563526761495
6,4010,AMERICAN NATL BANKSHARES,AMNB,-0.30722922718986456,1.115219980364538,-0.18499578080202334,0.5022977900642865
7,4010,AMERANT BANCORP INC,AMTB,-0.2962963601801998,1.1246347165260064,-0.17289636305570594,1.2548570634745186
8,4010,ARROW FINANCIAL CORP,AROW,-0.17627927726196013,0.9438343953943388,-0.07528168676744411,0.20526670533385688
9,4010,AMERISERV FINANCIAL INC/PA,ASRV,-0.23821380381162088,0.5069171391841811,-0.19135327444625,0.2741268781217867
10,4010,AMERICA FIRST MULTIFAMILY-LP,ATAX,-0.40622668692988556,0.6288507177903399,-0.34425774629242273,0.6940889764628103
11,4010,AMES NATIONAL CORP,ATLO,-0.09534853383075327,0.9104150258949132,0.0015081663149099367,0.09382266132944779
12,4010,ATLANTIC UNION BANKSHRS CRP,AUB,-0.09213563678015754,1.1022056607240587,0.028485245654402885,0.18670354518853854
13,4010,AUBURN NATIONAL BANCORP,AUBN,-0.19276924444969595,0.47178816846588106,-0.15026143681401066,-0.2037555039290755
14,4010,BANCFIRST CORP/OK,BANF,-0.02880763026675747,1.140524573008033,0.09656122965606687,0.23667257140328457
15,4010,BANNER CORP,BANR,-0.12774359765227242,1.2064336817736772,0.005791855371413301,0.3630322688886692
16,4010,BCB BANCORP INC,BCBP,-0.14627228108257181,0.8280347735911577,-0.05962306231104235,0.456772340626474
17,4010,BAYCOM CORP,BCML,-0.32876106990103476,0.9075290435116982,-0.2322619628750688,0.2724230764934275
18,4010,1895 BANCORP OF WISCONSN INC,BCOW,-0.07948237324663304,0.25988680351995946,-0.06323060604966353,0.44628401263695183
19,4010,BANK FIRST CORP,BFC,-0.05932789716052865,0.6862512517171254,0.009753365478117074,0.1334871515543392
20,4010,BANKFINANCIAL CORP,BFIN,-0.3010735281292536,0.8935472489250286,-0.20630686187433742,0.29564898522981015
21,4010,BUSINESS FIRST BANCSHS INC,BFST,-0.16438328730190963,1.0348961297851873,-0.05210251993311585,0.43240873105290095
22,4010,BANK SOUTH CAROLINA CORP,BKSC,-0.1161809192425217,0.28021013246796667,-0.09741095143441231,0.32514729317437807
23,4010,BANK OF MARIN BANCORP,BMRC,-0.2138562062212343,0.9552729180777872,-0.11144130388348199,0.09111553020603375
24,4010,BOK FINANCIAL CORP,BOKF,-0.18981222074026521,1.234283679955855,-0.05282596088163513,0.542837972302806
25,4010,BANK OF THE JAMES FINANCIAL,BOTJ,-0.20910868616738354,0.278728790622626,-0.19052226682959544,0.3783691630145451
26,4010,POPULAR INC,BPOP,-0.0030787950984714164,1.037318883692016,0.10950216818726224,0.5159714495611316
27,4010,BANK OF PRINCETON,BPRN,-0.23705910303878597,0.9757057609221929,-0.1321124305628963,0.3057233257513875
28,4010,BROOKLINE BANCORP INC,BRKL,-0.23535510439342336,0.9334286686753426,-0.13564685519974282,0.3951016501544781
29,4010,BOGOTA FINANCIAL CORP,BSBK,-0.23123384554722146,0.48250225120237544,-0.18739848917363663,0.1525423016502983
30,4010,SIERRA BANCORP/CA,BSRR,-0.1496173786383018,1.1691356712113707,-0.02070340633918566,0.19319805363656214
31,4010,BANK7 CORP,BSVN,-0.21767638811836906,0.9916494568284608,-0.11075418176819594,0.669497091297184
32,4010,FIRST BUSEY CORP,BUSE,-0.1774399461265546,1.0541496433326925,-0.06277353565244306,0.31758633176996387
33,4010,BRIDGEWATER BANCSHARES,BWB,-0.08094189618241159,0.831462318415296,0.006132019029988139,0.41129036599714114
34,4010,BANKWELL FINANCIAL GROUP INC,BWFG,-0.30428282554839703,0.7840692720870813,-0.22308123560971654,0.758669580054117
35,4010,BROADWAY FINANCIAL CORP/DE,BYFC,0.20129874653751192,0.5363413490602245,0.25180513842283314,0.24479174912752147
36,4010,CAMDEN NATIONAL CORP,CAC,-0.19312091468172998,0.9516488369296916,-0.09115506099074722,0.38218212902555126
37,4010,CARTER BANKSHARES INC,CARE,-0.5138780472426017,1.2475674891388837,-0.3752458318179053,0.42060489993901173
38,4010,CARVER BANCORP INC,CARV,1.5252918053305757,0.2004293378675553,1.5341763825004708,0.38212643811593916
39,4010,META FINANCIAL GROUP INC,CASH,0.018890480062106273,1.121750631265378,0.1419331191334744,0.6474340042088541
40,4010,CAMBRIDGE BANCORP,CATC,-0.0798104957022578,0.8159577493192025,0.005342296475961447,0.3436780088897505
41,4010,CATHAY GENERAL BANCORP,CATY,-0.11758443477369916,1.1448012117135244,0.008314330177447288,0.3892452464241566
42,4010,COLONY BANKCORP INC,CBAN,-0.041658056902872526,0.7490698287118679,0.035206860637182015,0.21104913901050912
43,4010,CB FINANCIAL SERVICES INC,CBFV,-0.31723573859272364,0.4306560660970426,-0.2798244820972409,0.28398059214347027
